,Unnamed: 0,Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,scraped
0,0,https://www.jstor.org/stable/116860,The Value of Weather Information Services for Nineteenth-Century Great Lakes Shipping,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Erik D. Craft,,,,,,,,0
1,1,https://www.jstor.org/stable/116861,The Rise and Fall of Bank Control in the United States: 1890-1939,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Miguel Cantillo Simon,,,,,,,,0
2,2,https://www.jstor.org/stable/116862,Winners and Losers in Russia's Economic Transition,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Elizabeth Brainerd,,,,,,,,0
3,3,https://www.jstor.org/stable/116863,Unemployment and the Social Safety Net during Transitions to a Market Economy: Evidence from the Czech and Slovak Republics,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,John C. Ham,Jan Svejnar,Katherine Terrell,,,,,,0
4,4,https://www.jstor.org/stable/116864,Federalism and the Soft Budget Constraint,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Yingyi Qian,Gérard Rol,,,,,,,0
5,5,https://www.jstor.org/stable/116865,Interest-Group Competition and the Organization of Congress: Theory and Evidence from Financial Services' Political Action Committees,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,R,all S. Kroszner,Thomas Stratmann,,,,,,0
6,6,https://www.jstor.org/stable/116866,Toward an Economic Theory of Leadership: Leading by Example,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Benjamin E. Hermalin,,,,,,,,0
7,7,https://www.jstor.org/stable/116867,Ambiguity Aversion and Incompleteness of Contractual Form,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Sujoy Mukerji,,,,,,,,0
8,8,https://www.jstor.org/stable/116868,Anticompetitive Vertical Integration by a Dominant Firm,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Michael H. Riordan,,,,,,,,0
9,9,https://www.jstor.org/stable/116869,Patent Litigation as an Information-Transmission Mechanism,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Jay Pil Choi,,,,,,,,0
10,10,https://www.jstor.org/stable/116870,"The Home Market, Trade, and Industrial Structure","Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Donald R. Davis,,,,,,,,0
11,11,https://www.jstor.org/stable/116871,Industrial Development and the Convergence Question,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Marvin Goodfriend,John McDermott,,,,,,,0
12,12,https://www.jstor.org/stable/116872,Endogenous Growth without Scale Effects,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Paul S. Segerstrom,,,,,,,,0
13,13,https://www.jstor.org/stable/116873,The Matching Market Institution: A Laboratory Investigation,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Changhua Sun Rich,Daniel Friedman,,,,,,,0
14,14,https://www.jstor.org/stable/116874,Experimental Evidence on the Evolution of Meaning of Messages in Sender-Receiver Games,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Andreas Blume,Douglas V. DeJong,Yong-Gwan Kim,Geoffrey B. Sprinkle,,,,,0
15,15,https://www.jstor.org/stable/116875,Why Referees Are Not Paid (Enough),"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Maxim Engers,Joshua S. Gans,,,,,,,0
16,16,https://www.jstor.org/stable/116876,The Deadweight Loss of Christmas: Comment,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,John A. List,Jason F. Shogren,,,,,,,0
17,17,https://www.jstor.org/stable/116877,The Deadweight Loss of Christmas: Reply,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Sara J. Solnick,David Hemenway,,,,,,,0
18,18,https://www.jstor.org/stable/116878,The Deadweight Loss of Christmas: Reply,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Joel Waldfogel,,,,,,,,0
19,19,https://www.jstor.org/stable/117000,The Market for Sulfur Dioxide Emissions,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Paul L. Joskow,Richard Schmalensee,Elizabeth M. Bailey,,,,,,0
20,20,https://www.jstor.org/stable/117001,Valuing the Impact of Large-Scale Ecological Change in a Market: The Effect of Climate Change on U.S. Timber,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Brent Sohngen,Robert Mendelsohn,,,,,,,0
21,21,https://www.jstor.org/stable/117002,"Layoffs, Top Executive Pay, and Firm Performance","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Kevin F. Hallock,,,,,,,,0
22,22,https://www.jstor.org/stable/117003,Multidimensional Uncertainty and Herd Behavior in Financial Markets,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Christopher Avery,Peter Zemsky,,,,,,,0
23,23,https://www.jstor.org/stable/117004,The Effect of Tax-Favored Retirement Accounts on Capital Accumulation,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Ayşe İmrohoroğlu,Selahattin İmrohoroğlu,Douglas H. Joines,,,,,,0
24,24,https://www.jstor.org/stable/117005,Is There a Retirement-Savings Puzzle?,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,James Banks,Richard Blundell,Sarah Tanner,,,,,,0
