Author Name,Sex
Henry Aaron,1
Daniel Aaronson,1
Jørgen Aasness,1
Alberto Abadie,1
Jason Abaluck,1
Emmanuel A. Abbe,1
Klaus Abbink,1
George C. Abbott,1
Jaap H. Abbring,1
Mohammed Abdellaoui,1
Atila Abdulkadiroğlu,1
Andrew B. Abel,1
Johannes Abeler,1
Abdul Abiad,1
Alan Abouchar,1
John M. Abowd,1
Katharine G. Abraham,0
Ran Abramitzky,1
Burton A. Abrams,1
Robert A. Abrams,1
Dilip Abreu,1
Jason Abrevaya,1
Jaromir Abrham,1
Antonio Acconcia,1
Daron Acemoglu,1
Viral V. Acharya,1
Keith Acheson,1
Daniel A. Ackerberg,1
Zoltan J. Acs,1
Jan Paul Acton,1
Hideyuki Adachi,1
Tasso Adamopoulos,1
Abi Adams,0
Ernest W. Adams,1
James D. Adams,1
William Adams,1
Jérôme Adda,1
Frank L. Adelman,1
Irma Adelman,0
Maja Adena,0
Alberto F. Ades,1
Douglas K. Adie,1
Anat R. Admati,0
Alícia Adserà,0
Christopher C. Afendulis,1
Gara Afonso,0
Sydney N. Afriat,1
A. Michael Agapos,1
Nikhil Agarwal,1
Sumit Agarwal,1
Rajesh K. Aggarwal,1
Bijan B. Aghevli,1
Philippe Aghion,1
Julie Agnew,0
Ajay Agrawal,1
Mark Aguiar,1
Iñaki Aguirre,1
Victor Aguirregabiria,1
Kenneth R. Ahern,1
Gabriel M. Ahlfeldt,1
Shaghil Ahmed,1
David S. Ahn,1
Hyungtaik Ahn,1
JaeBin Ahn,1
Seung C. Ahn,1
Chunrong Ai,1
Toke S. Aidt,1
Dennis J. Aigner,1
Yacine Aït-Sahalia,1
Brian J. Aitken,1
S. Rao Aiyagari,1
Shekhar Aiyar,1
Anna Aizer,0
Ufuk Akcigit,1
George A. Akerlof,1
Anders Akerman,1
Akhmed Akhmedov,1
Krishna Rao Akkina,1
Richard Akresh,1
Nabil Ibraheem Al-Najjar,1
Omar Al-Ubaydli,1
Vivi Alatas,0
David Y. Albouy,1
James W. Albrecht,1
Francisco Alcalá,1
Roger E. Alcaly,1
Armen Alchian,1
Laurence Ales,1
Alberto Alesina,1
George Alessandria,1
Louis De Alessi,1
Michelle Alexopoulos,0
Laura Alfaro,0
Yann Algan,1
Ingela Alger,0
Mukhtar M. Ali,1
S. Nageeb Ali,1
Robert Z. Aliber,1
C. D. Aliprantis,1
Ahmet Alkan,1
Maurice Allais,1
Hunt Allcott,1
Beth Allen,0
Franklin Allen,1
Heidi Allen,0
Jason Allen,1
Robert C. Allen,1
Stephen G. Allen,1
Stephen P. Allen,1
Steven G. Allen,1
Treb Allen,1
Sam Allgood,1
Michael G. Allingham,1
Ingvild Almås,0
Douglas Almond,1
George S. Alogoskoufis,1
Ricardo Alonso,1
Marcella Alsan,0
Julian M. Alston,1
Lee J. Alston,1
Raimund Alt,1
David Altig,1
Joseph G. Altonji,1
Rosanne Altshuler,0
Sumru Altug,0
Fernando E. Alvarez,1
Javier Alvarez,1
Hassan Y. Aly,1
Ryan C. Amacher,1
Manuel Amador,1
Attila Ambrus,1
Sandro Ambuehl,1
Takeshi Amemiya,1
John Ameriks,1
Amin H. Amershi,1
Vikesh Amin,1
Gianni Amisano,1
Mary Amiti,0
Gene Amromin,1
Catalina Amuedo-Dorantes,0
Santosh Anagol,1
T. C. A. Anant,1
A. Anastasopoulos,1
Stanislav Anatolyev,1
Nejat Anbarci,1
Luca Anderlini,1
Steffen Andersen,1
Torben G. Andersen,1
Axel Anderson,1
Eric T. Anderson,1
Gary M. Anderson,1
Gordon J. Anderson,1
James E. Anderson,1
Lisa R. Anderson,0
Michael L. Anderson,1
Patricia M. Anderson,0
Richard G. Anderson,1
Robert M. Anderson,1
Ronald W. Anderson,1
Simon P. Anderson,1
Siwan Anderson,0
Soren T. Anderson,1
Steven T. Anderson,1
Theodore Wilbur Anderson,1
Tommy Andersson,1
Albert Ando,1
David Andolfatto,1
James Andreoni,1
Patricia Andreski,0
Donald W. K. Andrews,1
Isaiah Andrews,1
Yuri Andrienko,1
Elliot Anenberg,1
Gwyn B. Aneuryn-Evans,1
George-Marios Angeletos,1
Paolo Angelini,1
Ignazio Angeloni,1
Manuela Angelucci,0
Paul M. Anglin,1
Joshua D. Angrist,1
Francis Annan,1
Stephen Ansolabehere,1
Francisca M. Antman,0
James J. Anton,1
Kate Antonovics,0
Pol Antràs,1
Werner Antweiler,1
Shamena Anwar,0
Masahiko Aoki,1
Jose Apesteguia,1
Coren L. Apicella,0
Patricia Apps,0
Ayala Arad,0
Andrés Aradillas-López,1
Enriqueta Aragones,0
Marcelle V. Arak,0
Aloisio Araujo,1
Eva O. Arceo-Gomez,0
Peter Arcidiacono,1
Silvia Ardagna,0
Cristina Arellano,0
Manuel Arellano,1
Dan Ariely,1
Jasmina Arifovic,0
David Rojo Arjona,1
Costas Arkolakis,1
Walter Armbruster,1
Roc Armenter,1
Philip Armour,1
Mark Armstrong,1
Sven W. Arndt,1
Lutz G. Arnold,1
Richard J. Arnott,1
Swarnjit S. Arora,1
Kenneth J. Arrow,1
J. L. Arrufat,1
David M. Arseneau,1
Zvi Artstein,1
Erhan Artuç,1
P. Artus,1
Pierfederico Asdrubali,1
Adam Ashcraft,1
Orley Ashenfelter,1
Bevin Ashenmiller,0
Itai Ashlagi,1
R. Ashley,1
Nava Ashraf,0
Quamrul Ashraf,1
Elizabeth Asiedu,0
John Asker,1
Elena Asparouhova,0
Paul Asquith,1
Martijn J. van den Assem,1
Alp E. Atakan,1
Enghin Atalay,1
Stefano G. Athanasoulis,1
Susan Athey,0
Andrew Atkeson,1
David Atkin,1
Anthony B. Atkinson,1
Scott E. Atkinson,1
Hiroshi Atsumi,1
Orazio P. Attanasio,1
Andrea Attar,1
Clifford L. F. Attfield,1
Marc A. Van Audenrode,1
David B. Audretsch,1
Alan J. Auerbach,1
Robert Auerbach,1
Leonardo Auernheimer,1
Maximilian Auffhammer,1
Ned Augenblick,1
Douglas A.L. Auld,1
Robert J. Aumann,1
Emmanuelle Auriol,0
David Austen-Smith,1
Lawrence M. Ausubel,1
Ram Autar,1
Gerald E. Auten,1
David H. Autor,1
Susan L. Averett,0
Christopher N. Avery,1
Robert B. Avery,1
Rosemary Avery,0
Bee Yan Aw,0
Bo Axell,1
Robert Axtell,1
Robert Ayanian,1
Orhan Aygün,1
Ian Ayres,1
Costas Azariadis,1
Eduardo M. Azevedo,1
Pierre Azoulay,1
Yaron Azrieli,1
Corry Azzi,0
Marina Azzimonti,0
Linda Babcock,0
Andres Babino,1
Mariagiovanna Baccara,0
Philippe Bacchetta,1
Rüdiger Bachmann,1
Kerry Back,1
David K. Backus,1
Robert C. Baesemann,1
Jesper Bagger,1
Adib Bagh,1
Mark Bagnoli,1
Kyle Bagwell,1
Laurie Simon Bagwell,0
Byong-Hyong Bahk,1
Mohsen Bahmani-Oskooee,1
Benjamin W. Bahney,1
Jushan Bai,1
Yan Bai,0
Katherine Baicker,0
Elizabeth E. Bailey,0
Martha J. Bailey,0
Martin J. Bailey,1
Michelle Stegman Bailey,0
Roy E. Bailey,1
Richard T. Baillie,1
Aurélien Baillon,1
Martin Neil Baily,1
Sarah Baird,0
Patrick Bajari,1
George P. Baker,1
Malcolm Baker,1
Matthew J. Baker,1
Michael Baker,1
Scott R. Baker,1
Gurdip S. Bakshi,1
Venkatesh Bala,1
Jean-Marie Baland,1
Yves Balasko,1
Bela Balassa,1
Pierluigi Balduzzi,1
Laura H. Baldwin,0
Richard E. Baldwin,1
Pietro Balestra,1
Sandeep Baliga,1
Bert M. Balk,1
Nathan S. Balke,1
Laurence Ball,1
Sheryl Ball,0
Charles L. Ballard,1
J. Gregory Ballentine,1
Coralio Ballester,1
Miguel A. Ballester,1
Dale Ballou,1
Badi H. Baltagi,1
Guido Baltussen,1
Rodrigo Bamón,1
Robert A. Bandeen,1
Federico M. Bandi,1
Oriana Bandiera,0
Abhijit V. Banerjee,1
Ajeyo Banerjee,1
Bani P. Banerjee,1
K. S. Banerjee,1
Roy J. Bank,1
Rajiv D. Banker,1
James Banks,1
Jeffrey S. Banks,1
Cynthia Bansak,0
Ravi Bansal,1
H. Spencer Banzhaf,1
Reza Baqir,1
Avner Bar-Ilan,1
Heski Bar-Isaac,1
Iwan Barankay,1
Oleg V. Baranov,1
Brad M. Barber,1
Salvador Barbera,1
Salvador Barberà,1
Salvador Barberá,1
Nicholas Barberis,1
Pranab K. Bardhan,1
Paulo Barelli,1
Tania Barham,0
Haim Barkai,1
Gadi Barlevy,1
Robin Barlow,1
Ole E. Barndorff-Nielsen,1
William A. Barnett,1
David P. Baron,1
Solon L. Barraclough,1
Alan I. Barreca,1
Garry F. Barrett,1
Robert J. Barro,1
Patrick Barron,1
Levon Barseghyan,1
Robert B. Barsky,1
Ann P. Bartel,0
Larry Bartels,1
Eric Bartelsman,1
Anton P. Barten,1
Timothy J. Bartik,1
Björn Bartling,1
Leonardo Bartolini,1
Charles A. M. de Bartolome,1
Francesco Bartolucci,1
Robert Bartoszyński,1
Shmuel Baruch,1
Panle Jia Barwick,0
Yoram Barzel,1
Suleyman Basak,1
Tamer Basar,1
Giorgio Basevi,1
R. L. Basmann,1
"Gilbert W. Bassett, Jr.",1
Lowell Bassett,1
Marco Bassetto,1
Kaushik Basu,1
Susanto Basu,1
Ian Bateman,1
Raveendra N. Batra,1
Marco Battaglini,1
Raymond C. Battalio,1
Pierpaolo Battigalli,1
Erich Battistin,1
Edmond Baudier,1
Thomas Baudin,1
Michael D. Bauer,1
Michal Bauer,1
Christopher F. Baum,1
Nathaniel Baum-Snow,1
Christiane Baumeister,0
James R. Baumgardner,1
William J. Baumol,1
Marianne Baxter,0
Nevins D. Baxter,1
Michael R. Baye,1
Christian Bayer,1
Patrick Bayer,1
Kathy Baylis,0
Santiago Bazdresch,1
Max H. Bazerman,1
Charles M. Beach,1
Lori Beaman,0
Donald V. T. Bear,1
Brendan K. Beare,1
Paulina Beato,0
Timothy K. M. Beatty,1
Paul Beaudry,1
J. Joseph Beaulieu,1
Nancy Beaulieu,0
Lucian Arye Bebchuk,1
Gary S. Becker,1
Randy Becker,1
Robert A. Becker,1
Sascha O. Becker,1
William E. Becker,1
Martin J. Beckmann,1
Kelly Bedard,0
John R. Beddington,1
Steven Bednar,1
Alan Beggs,1
Kristian Behrens,1
Jere R. Behrman,1
Richard O. Beil,1
Paul A. Bekker,1
Eli Bekman,1
Brian D. Bell,1
Clive Bell,1
Frederick W. Bell,1
Jason Bell,1
Charles Bellemare,1
Alexander Van der Bellen,1
Richard Bellman,1
Marianna Belloc,0
A. Belloni,1
Frederico Belo,1
Michael T. Belongia,1
Willie Belton,1
Rudolfs Bems,1
Dan Ben-David,1
Itzhak Ben-David,1
Adi Ben-Israel,1
Avner Ben-Ner,1
Elchanan Ben-Porath,1
Yoram Ben-Porath,1
A. Ben-Tal,1
Roland Bénabou,1
Michel Benaim,1
Michel Benaïm,1
Shlomo Benartzi,1
Jean-Pascal Benassy,1
Luca Benati,1
Valerie R. Bencivenga,0
Bruce Bender,1
Stefan Bender,1
Jess Benhabib,1
Pierpaolo Benigno,1
Haskel Benishay,1
Daniel J. Benjamin,1
Daniel K. Benjamin,1
Dwayne Benjamin,1
C. Lanier Benkard,1
Efraim Benmelech,1
Alberto Bennardo,1
Morten Bennedsen,1
Paul Bennett,1
Simon Benninga,1
Jean-Pierre Benoît,1
Benjamin Bental,1
Arthur A. van Benthem,1
Brian L. Bentick,1
Antonio M. Bento,1
Lawrence M. Benveniste,1
Stephen J. Berardi,1
Peter Berck,1
Yoella Bereby-Meyer,0
Aleksander Berentsen,1
Arie Beresteanu,1
Gerard J. Van Den Berg,1
Joyce E. Berg,0
Dirk Bergemann,1
Mark Bergen,1
Allen N. Berger,1
Daniel Berger,1
David Berger,1
Mark C. Berger,1
W. J. Berger,1
James Bergin,1
Paul R. Bergin,1
Eitan Berglas,1
Erik Berglöf,1
Nittai K. Bergman,1
Barbara R. Bergmann,0
Abram Bergson,1
Daniel Bergstresser,1
Albert Rex Bergstrom,1
Clas Bergstrom,1
Theodore C. Bergstrom,1
Jere R. Berhman,1
