name,url,scraped
No. 6 November 2019,/stable/10.2307/i40226149,1
No. 5 September 2019,/stable/10.2307/i40224905,1
No. 4 July 2019,/stable/10.2307/i40222384,1
No. 3 May 2019,/stable/10.2307/i40222383,1
No. 2 March 2019,/stable/10.2307/i40222382,1
No. 1 January 2019,/stable/10.2307/i40222381,1
No. 6 November 2018,/stable/10.2307/i40210238,1
No. 5 September 2018,/stable/10.2307/i40210233,1
No. 4 July 2018,/stable/10.2307/i40210277,1
No. 3 May 2018,/stable/10.2307/i40210231,1
No. 2 March 2018,/stable/10.2307/i40210276,1
No. 1 January 2018,/stable/10.2307/i40210229,1
No. 6 November 2017,/stable/10.2307/i40210228,1
No. 5 September 2017,/stable/10.2307/i40210227,1
No. 4 July 2017,/stable/10.2307/i40210226,1
No. 3 May 2017,/stable/10.2307/i40210225,1
No. 2 March 2017,/stable/10.2307/i40210224,1
No. 1 January 2017,/stable/10.2307/i40173724,1
No. 6 November 2016,/stable/10.2307/i40173720,1
No. 5 September 2016,/stable/10.2307/i40173719,1
No. 4 July 2016,/stable/10.2307/i40158909,1
No. 3 May 2016,/stable/10.2307/i40158908,1
No. 2 March 2016,/stable/10.2307/i40158907,1
No. 1 January 2016,/stable/10.2307/i40158913,1
No. 6 November 2015,/stable/10.2307/i40158905,1
No. 5 September 2015,/stable/10.2307/i40144634,1
No. 4 July 2015,/stable/10.2307/i40144633,1
No. 3 May 2015,/stable/10.2307/i40144632,1
No. 2 March 2015,/stable/10.2307/i40144631,1
No. 1 January 2015,/stable/10.2307/i40144630,1
No. 6 November 2014,/stable/10.2307/i40144629,1
No. 5 September 2014,/stable/10.2307/i24012646,1
No. 4 July 2014,/stable/10.2307/i24021390,1
No. 3 May 2014,/stable/10.2307/i24021374,1
No. 2 March 2014,/stable/10.2307/i24010234,1
No. 1 January 2014,/stable/10.2307/i24021389,1
No. 6 November 2013,/stable/10.2307/i23524038,1
No. 5 September 2013,/stable/10.2307/i23517554,1
No. 4 July 2013,/stable/10.2307/i23524124,1
No. 3 May 2013,/stable/10.2307/i23517479,1
No. 2 March 2013,/stable/10.2307/i23517394,1
No. 1 January 2013,/stable/10.2307/i23357188,1
No. 6 November 2012,/stable/10.2307/i23357166,1
No. 5 September 2012,/stable/10.2307/i23271238,1
No. 4 July 2012,/stable/10.2307/i23271227,1
No. 3 May 2012,/stable/10.2307/i40072982,1
"No. 2 March, 2012",/stable/10.2307/i40072981,1
"No. 1 January, 2012",/stable/10.2307/i40063184,1
"No. 6 November, 2011",/stable/10.2307/i40063182,1
No. 5 September 2011,/stable/10.2307/i40055874,1
"No. 4 July, 2011",/stable/10.2307/i40055880,1
"No. 3 May, 2011",/stable/10.2307/i40055873,1
"No. 2 March, 2011",/stable/10.2307/i40047154,1
"No. 1 January, 2011",/stable/10.2307/i40047151,1
"No. 6 November, 2010",/stable/10.2307/i40041757,1
"No. 5 September, 2010",/stable/10.2307/i40041779,1
"No. 4 July, 2010",/stable/10.2307/i40041755,1
"No. 3 May, 2010",/stable/10.2307/i40028912,1
"No. 2 March, 2010",/stable/10.2307/i40028910,1
"No. 1 Jan., 2010",/stable/10.2307/i25621393,1
"No. 6 Nov., 2009",/stable/10.2307/i25621378,1
"No. 5 Sep., 2009",/stable/10.2307/i25621362,1
"No. 4 Jul., 2009",/stable/10.2307/i40010229,1
"No. 3 May, 2009",/stable/10.2307/i40010228,1
"No. 2 Mar., 2009",/stable/10.2307/i40010231,1
"No. 1 Jan., 2009",/stable/10.2307/i40002377,1
"No. 6 Nov., 2008",/stable/10.2307/i40002376,1
"No. 5 Sep., 2008",/stable/10.2307/i40002375,1
"No. 4 Jul., 2008",/stable/10.2307/i40002374,1
"No. 3 May, 2008",/stable/10.2307/i40002372,1
"No. 2 Mar., 2008",/stable/10.2307/i40002370,1
"No. 1 Jan., 2008",/stable/10.2307/i405129,1
"No. 6 Nov., 2007",/stable/10.2307/i405239,1
"No. 5 Sep., 2007",/stable/10.2307/i405167,1
"No. 4 Jul., 2007",/stable/10.2307/i405171,1
"No. 3 May, 2007",/stable/10.2307/i405515,1
"No. 2 Mar., 2007",/stable/10.2307/i405247,1
"No. 1 Jan., 2007",/stable/10.2307/i383441,1
"No. 6 Nov., 2006",/stable/10.2307/i383436,1
"No. 5 Sep., 2006",/stable/10.2307/i371245,1
"No. 4 Jul., 2006",/stable/10.2307/i371244,1
"No. 3 May, 2006",/stable/10.2307/i383434,1
"No. 2 Mar., 2006",/stable/10.2307/i282649,1
"No. 1 Jan., 2006",/stable/10.2307/i282648,1
"No. 6 Nov., 2005",/stable/10.2307/i282647,1
"No. 5 Sep., 2005",/stable/10.2307/i282646,1
"No. 4 Jul., 2005",/stable/10.2307/i282645,1
"No. 3 May, 2005",/stable/10.2307/i282644,1
"No. 2 Mar., 2005",/stable/10.2307/i282643,1
"No. 1 Jan., 2005",/stable/10.2307/i282642,1
"No. 6 Nov., 2004",/stable/10.2307/i282641,1
"No. 5 Sep., 2004",/stable/10.2307/i282640,1
"No. 4 Jul., 2004",/stable/10.2307/i282639,1
"No. 3 May, 2004",/stable/10.2307/i282638,1
"No. 2 Mar., 2004",/stable/10.2307/i282637,1
"No. 1 Jan., 2004",/stable/10.2307/i282636,1
"No. 6 Nov., 2003",/stable/10.2307/i269815,1
"No. 5 Sep., 2003",/stable/10.2307/i269814,1
"No. 4 Jul., 2003",/stable/10.2307/i269813,1
"No. 3 May, 2003",/stable/10.2307/i269812,1
"No. 2 Mar., 2003",/stable/10.2307/i355284,1
