Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Full Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author 11,Author 12,Author 13,Author 14,Author 15,Author 16,Author 17,Author 18,Author 19,Author 20,Author 21,Author 22,Author 23,Author 24,Author 25,Author 26,Author 27,Author 28,Author 29,Author 30
https://www.jstor.org/stable/45238023,THE AGGREGATE IMPLICATIONS OF REGIONAL BUSINESS CYCLES,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,"Martin Beraja, Erik Hurst and Juan Ospina",Martin Beraja,Erik Hurst,Juan Ospina,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238024,BARGAINING UNDER STRATEGIC UNCERTAINTY: THE ROLE OF SECOND-ORDER OPTIMISM,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Amanda Friedenberg,Amanda Friedenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238025,STRATEGIC COMMUNICATION WITH MINIMAL VERIFICATION,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Gabriel Carroll and Georgy Egorov,Gabriel Carroll,Georgy Egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238026,DYNAMIC QUANTILE MODELS OF RATIONAL BEHAVIOR,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Luciano de Castro and Antonio F. Galvao,Luciano de Castro,Antonio F. Galvao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238027,DYNAMIC RANDOM UTILITY,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,"Mira Frick, Ryota Iijima and Tomasz Strzalecki",Mira Frick,Ryota Iijima,Tomasz Strzalecki,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238028,STRATEGICALLY SIMPLE MECHANISMS,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Tilman Börgers and Jiangtao Li,Tilman Börgers,Jiangtao Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238029,LINEAR VOTING RULES,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Hans Peter Grüner and Thomas Tröger,Hans Peter Grüner,Thomas Tröger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238030,PRICING AND LIQUIDITY IN DECENTRALIZED ASSET MARKETS,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Semi̇h Üslü,Semi̇h Üslü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45238031,ON THE EFFICIENCY OF SOCIAL LEARNING,"Vol. 87, No. 6, November 2019",Vol. 87,No. 6,November,2019,,Dinah Rosenberg and Nicolas Vieille,Dinah Rosenberg,Nicolas Vieille,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jstor.org/stable/45217216,THE ALLOCATION OF TALENT AND U.S. ECONOMIC GROWTH,"Vol. 87, No. 5, September 2019",Vol. 87,No. 5,September,2019,,"Chang-Tai Hsieh, Erik Hurst, Charles I. Jones and Peter J. Klenow",Chang-Tai Hsieh,Erik Hurst,Charles I. Jones,Peter J. Klenow,,,,,,,,,,,,,,,,,,,,,,,,,,
