Source URL,Title,Issue Vol.,Issue No.,Month,Year,Abstract,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,img
https://www.journals.uchicago.edu/doi/10.1086/258391,Kantorovich on Economic Calculation,68,6,Dec.,1960,,Benjamin Ward,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258392,Some Institutional Aspects of the Wealth of Nations,68,6,Dec.,1960,,Nathan Rosenberg,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258393,Capital Formation by Education,68,6,Dec.,1960,,Theodore W. Schultz,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258394,"Long-Run Changes in Occupational Wage Structure, 1900-1956",68,6,Dec.,1960,,Paul G. Keat,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258395,Monetary Policy and Its Critics,68,6,Dec.,1960,,James R. Schlesinger,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258396,Friedman on the Lag in Effect of Monetary Policy,68,6,Dec.,1960,,J. M. Culbertson,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258397,"The Public Debt, Corporate Income Taxes, and the Rate of Interest",68,6,Dec.,1960,,Robert A. Mundell,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258398,The Burden of Monopoly,68,6,Dec.,1960,,David Schwartzman,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258399,Are Farmers Irrational?--A Reply,68,6,Dec.,1960,,Jesse W. Markham,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258400,Are Farmers Irrational?: Rejoinder,68,6,Dec.,1960,,Zvi Griliches,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258401,Positive Policy in the Fertilizer Industry,68,6,Dec.,1960,,Vernon W. Ruttan,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258402,"André Marchal,                Systèmes et structures économiques             ",68,6,Dec.,1960,,Jean-Claude Eicher,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258403,"Samuel M. Loescher, Imperfect Collusion in the Cement Industry",68,6,Dec.,1960,,William L. Baldwin,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258404,"Orme W. Phelps, Discipline and Discharge in the Unionized Firm",68,6,Dec.,1960,,James W. Kuhn,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258405,"Samuel Karlin, Mathematical Methods and Theory in Games, Programming, and Economics, Vol. I: Matrix Games, Programming, and Mathematical Economics. Vol. II: The Theory of Infinite Games",68,6,Dec.,1960,,Marc Nerlove,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258406,"William H. Knowles, Trade Union Development and Industrial Relations in the British West Indies",68,6,Dec.,1960,,E. W. Evans,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258407,"Frank A. Hanna, State Income Differentials 1919-1954",68,6,Dec.,1960,,John L. Johnson,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258408,"C. F. Remer, Three Essays on the International Economics of Communist China",68,6,Dec.,1960,,E. Stuart Kirby,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258363,"Non-Convexity, Aggregation, and Pareto Optimality",68,5,Oct.,1960,,Jerome Rothenberg,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258364,"Government Efficiency and the Military ""Buyer-Seller"" Device",68,5,Oct.,1960,,Norman V. Breckner,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258365,Local Independent and National Unions: Competitive Labor Organizations,68,5,Oct.,1960,,Leo Troy,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258366,The Manichaean Heresy: A Note for Economists,68,5,Oct.,1960,,Jacob Weissman,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258367,A Note on the Saving-Wealth Relation and the Rate of Interest,68,5,Oct.,1960,,Arnold Collery,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258368,An Application of Leibenstein's Theory of Underemployment,68,5,Oct.,1960,,Hannan Ezekiel,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258369,Commercial Banks and Financial Intermediaries: Fallacies and Policy Implications--A Comment,68,5,Oct.,1960,,Leland J. Pritchard,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258370,Commercial Banks and Financial Intermediaries: Fallacies and Policy Implications: A Reply,68,5,Oct.,1960,,Joseph Aschheim,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258371,Commercial Banks and Financial Intermediaries: Fallacies and Policy Implications: A Rejoinder,68,5,Oct.,1960,,Leland J. Pritchard,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258372,"B. S. Keirstead, Capital, Interest and Profits",68,5,Oct.,1960,,Harry G. Johnson,,,,,,
https://www.journals.uchicago.edu/doi/10.1086/258373,"R. C. O. Matthews, The Business Cycle",68,5,Oct.,1960,,Robert Eisner,,,,,,
