Source URL,Title,Volume,Issue,Month,Year,Abstract,Authors1,Authors2,Authors3,Authors4,Authors5,Authors6,Authors7
https://doi.org/10.2307/2118503,Dyke Maintenance and Other Stories: Some Neglected Types of Public Goods,Volume 108,Issue 1,February,1993,,Richard Cornes,,,,,,
https://doi.org/10.2307/1879397,"Excess Demand, Unemployment, Vacancies, and Wages",Volume 84,Issue 1,February,1970,"I. A neoclassical macro theory for money wage changes, 2. — II. Neoclassical wage theory with spontaneous wage change and additional wage determinants, 3 — III. Vacancies and unemployment and excess demand, 5. — IV. The derivation of the Phillips relation, 8. — V. The form of the Phillips relation, 11. — VI. The cyclical characteristics of unemployment and vacancies, 17. — VII. Vacancies, unemployment, and equilibrium, 21.",Bent Hansen,,,,,,
https://doi.org/10.2307/1879398,Growth Strategies in Semi-Industrial Countries,Volume 84,Issue 1,February,1970,"I. Inward- and outward-looking strategies of industrial development, 24. — II. Effects on the allocation of resources, 28. — III. Large-scale economies and technological change, 32. — IV. Effects on foreign trade, 38. — V. Effects on economic growth, 43. — VI. Conclusion, 44.",Bela Balassa,,,,,,
https://doi.org/10.2307/1879399,The Role of Demand and Investment in Long-Term Growth,Volume 84,Issue 1,February,1970,"I. Introduction, 48. — II. Two alternative interpretations of the stylized facts, 49. — III. The influence of supply on demand, 53. — IV. The influence of demand on supply, 56. — V. Growth and transformation, 60. —VI. Say's law in reverse, 65. — VII. Summary, 68.",John Cornwall,,,,,,
https://doi.org/10.2307/1879400,"Poverty, Education, and Unbalanced Economic Growth",Volume 84,Issue 1,February,1970,"The economic setting, 71. — The human capital model, 73. — Factors inhibiting human capital development, 79. — Secular trends in the parameters, 80. — Conclusions, 83.",Peter S. Albin,,,,,,
https://doi.org/10.2307/1879401,The Theory of Price Determination in Government-Industry Relationships,Volume 84,Issue 1,February,1970,"Introduction, 85. — The conventional bilateral monopoly, 86. — The government procurement process, 88. — Sole source contracts, 89. — Multisource procurement, 95.",A. M. Agapos,Paul R. Dunlap,,,,,
https://doi.org/10.2307/1879402,A Note on Marshallian Process Under Increasing Returns,Volume 84,Issue 1,February,1970,"I. Introduction, 100. — II. External economies of scale, 102. — III. Proofs of the theorems, 108. — IV. Social planning, 110.",Masahiko Aoki,,,,,,
https://doi.org/10.2307/1879403,Economics of Information and Job Search,Volume 84,Issue 1,February,1970,"I. Introduction, 113. — II. A simple model of job search, 115. — III. A more general model of job search, 123. — IV. An adaptive search model, 125.",J. J. McCall,,,,,,
https://doi.org/10.2307/1879404,On Embodiment and Savings,Volume 84,Issue 1,February,1970,"I. Introduction, 127. — II. The “clay-clay” model, 128. — III. The “putty-putty” model, 129. — IV. Conclusions, 132.",A. B. Atkinson,,,,,,
https://doi.org/10.2307/1879405,Growth Paths in the Solow Neoclassical Growth Model,Volume 84,Issue 1,February,1970,,Alan V. Deardorff,,,,,,
https://doi.org/10.2307/1879406,Adjustment Costs and the Flexible Accelerator,Volume 84,Issue 1,February,1970,,George A. Hay,,,,,,
https://doi.org/10.2307/1879407,Solow and Stiglitz on Employment and Distribution: A New Romance with an Old Model?,Volume 84,Issue 1,February,1970,"I. Introduction, 144. — II. Some parallel views on the Cambridge and the marginal productivity theories, 144. — III. Similarities in equations of the earlier and the present model, 146. — IV. Issues in disequilibrium price versus disequilibrium output adaptations, 150.",Sidney Weintraub,,,,,,
https://doi.org/10.2307/1879408,Reply,Volume 84,Issue 1,February,1970,,Robert M. Solow,Joseph E. Stiglitz,,,,,
https://doi.org/10.2307/1879409,Substitution and Supply Elasticities in Calculating the Effective Protective Rate: Comment,Volume 84,Issue 1,February,1970,,"G. Donald Wood, Jr.",,,,,,
https://doi.org/10.2307/1879410,Reply,Volume 84,Issue 1,February,1970,,J. Clark Leith,,,,,,
https://doi.org/10.2307/1879411,Stochastic Stability of Short-Run Market Equilibrium: Comment,Volume 84,Issue 1,February,1970,"I. Introduction, 161. — II. The discrete time model, 162. — III. Definitions, 162. — IV. Some theorems on the linear stochastic model, 163. — V. Application to Walrasian and Marshallian stability, 164. —VI. Conclusion, 166.",E. Roy Weintraub,,,,,,
https://doi.org/10.2307/1879412,A Note on the Relative Income of Nonwhite Men 1948–1964,Volume 84,Issue 1,February,1970,"I. Introduction, 168. – II. The trend: 1948–1964, 168. — III. Conclusion, 172.",David W. Rasmussen,,,,,,
https://doi.org/10.2307/1883008,A Mean-Variance Analysis of United States Long-Term Portfolio Foreign Investment,Volume 84,Issue 2,May,1970,"I. Introduction, 175. — II. The basic model, 177. — III. Empirical specification, 179. — IV. Empirical estimation, 187. — V. Poliep' implications, 193.— Appendix: Symbols, definitions, and data sources, 195.",Norman C. Miller,Marina v. N. Whitman,,,,,
https://doi.org/10.2307/1883009,Optimal Choice of Monetary Policy Instruments in a Simple Stochastic Macro Model*,Volume 84,Issue 2,May,1970,"I. Introduction, 197. — II. The instrument problem, 199. — III. A static stochastic model, 203.— IV. The combination policy, 208. — V. A dynamic model, 209. — VI. Concluding observations, 214. — Appendix, 215.",William Poole,,,,,,
