Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Full Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,scraped
https://www.jstor.org/stable/116860,The Value of Weather Information Services for Nineteenth-Century Great Lakes Shipping,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"The U.S. government established a national weather organization in 1870. Changes in Great Lakes cargo and hull losses, and shipping rates from Chicago to Buffalo, provide evidence of the value of storm warnings on the Great Lakes. Nearly half of the Great Lakes storm-warning stations were closed during the fall of 1883 because of appropriations reductions. This exogenous shock permits the econometric estimation of the value of storm-warning locations on the Great Lakes. The results indicate that the social rate of return for weather expenditures during the Weather Bureau's founding period was at least 60 percent.",Erik D. Craft,Erik D. Craft,,,,,,,,1
https://www.jstor.org/stable/116861,The Rise and Fall of Bank Control in the United States: 1890-1939,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"This article studies how equity ownership and corporate control were separated in the United States. Initially, railroads and industrial firms were tightly controlled by a few shareholders; this situation was altered in the 1890's by massive mergers and reorganizations, which allowed private banks to control railroads and industrial firms. Between 1912 and 1939, bank control faded away as a result of a political reaction against financial institutions. Using stock-market data from 1914, I show that the eviction of banks from corporate boards depressed firm values by about 7 percent, and that part of this value came from cartelization.",Miguel Cantillo Simon,Miguel Cantillo Simon,,,,,,,,1
https://www.jstor.org/stable/116862,Winners and Losers in Russia's Economic Transition,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"The transition to a market economy has produced a substantial and rapid change in the wage structure in Russia. Household surveys taken before and after the transition indicate that overall wage inequality nearly doubled from 1991 to 1994 and has reached a level higher than that in the United States. Returns to both measured skills (education, occupation) and unmeasured skills within groups have increased considerably. Skill premiums across experience groups, however, have become more compressed and relative wages of older workers have declined. In addition, female wages have declined relative to male wages across all percentiles of the wage distribution.",Elizabeth Brainerd,Elizabeth Brainerd,,,,,,,,1
https://www.jstor.org/stable/116863,Unemployment and the Social Safety Net during Transitions to a Market Economy: Evidence from the Czech and Slovak Republics,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"We investigate the remarkably short unemployment spells in the Czech Republic compared to Slovakia and other Central and East European economies. We estimate hazard functions and find that 40 to 50 percent of the difference in unemployment durations between the two republics is accounted for by differences in demographics and demand conditions. The remainder is explained by differences in coefficients, proxying the behavior of firms, individuals, and institutions. In both republics the unemployment compensation system has a moderately negative effect on the exit rate from unemployment. Policy makers hence have latitude in providing adequate social safety nets without jeopardizing efficiency.","John C. Ham, Jan Svejnar and Katherine Terrell",John C. Ham,Jan Svejnar,Katherine Terrell,,,,,,1
https://www.jstor.org/stable/116864,Federalism and the Soft Budget Constraint,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"The government's incentives to bail out inefficient projects are determined by the trade-off between political benefits and economic costs, the latter depending on the decentralization of government. Two effects of federalism are derived: First, fiscal competition among local governments under factor mobility increases the opportunity costs of bailout and thus serves as a commitment device (the ""competition effect""). Second, monetary centralization, together with fiscal decentralization, induces a conflict of interests and thus may harden budget constraints and reduce inflation (the ""checks and balance effect""). Our analysis is used to interpret China's recent experience of transition to a market economy.",Yingyi Qian and Gérard Roland,Yingyi Qian,Gérard Roland,,,,,,,1
https://www.jstor.org/stable/116865,Interest-Group Competition and the Organization of Congress: Theory and Evidence from Financial Services' Political Action Committees,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"We develop a positive theory of how interest-group competition shapes the organization of Congress and use it to explain campaign contribution patterns in financial services. Since interest groups cannot enforce fee-for-service contracts with legislators, legislators have an incentive to create specialized, standing committees which foster repeated dealing between interests and committee members. The resulting reputational equilibrium supports high contributions and high legislative effort for the interests. Contribution patterns by competing interests in the congressional battle over whether banks can enter new businesses support the theory, which also has implications for term limits and campaign reform.",Randall S. Kroszner and Thomas Stratmann,Randall S. Kroszner,Thomas Stratmann,,,,,,,1
https://www.jstor.org/stable/116866,Toward an Economic Theory of Leadership: Leading by Example,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"This paper explores leadership within organizations. Leadership is distinct from authority because following a leader is a voluntary, rather than coerced, activity of the followers. This paper considers how a leader induces rational agents to follow her in situations when the leader has incentives to mislead them.",Benjamin E. Hermalin,Benjamin E. Hermalin,,,,,,,,1
https://www.jstor.org/stable/116867,Ambiguity Aversion and Incompleteness of Contractual Form,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"Subjective uncertainty is characterized by ambiguity if the decision maker has an imprecise knowledge of the probabilities of payoff-relevant events. In such an instance, subjective beliefs are better represented by a set of probability functions than by a unique probability function. An ambiguity-averse decision maker adjusts his choice on the side of caution in response to his imprecise knowledge of the odds. This paper shows that ambiguity aversion can explain the existence of incomplete contracts. The contextual setting is the investment hold-up model which has been the focus of much of the research on incomplete contracts.",Sujoy Mukerji,Sujoy Mukerji,,,,,,,,1
https://www.jstor.org/stable/116868,Anticompetitive Vertical Integration by a Dominant Firm,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"Backward vertical integration by a dominant firm into an upstream competitive industry causes both input and output prices to rise. The dominant firm's cost advantage may or may not offset the negative effect of higher prices on social welfare. Whether it does depends on a simple indicator derived from input and output market shares and the degree of piror vertical integration. A vertical merger is similar to a hypothetical horizontal merger, suggesting that vertical merger policy for this industry should be similar to horizontal merger policy. The dominant firm model yields an observable sufficient indicator of welfare-improving vertical mergers.",Michael H. Riordan,Michael H. Riordan,,,,,,,,1
https://www.jstor.org/stable/116869,Patent Litigation as an Information-Transmission Mechanism,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"Patent litigation reveals important information about the validity of the contested patent to other potential entrants. This paper explores the implications of such informational externalities for entry dynamics in the presence of multiple potential entrants. The nature of the entry game can be one of either waiting or pre-emption depending on the degree of patent protection. Therefore, the payoffs for the patentee and the initial imitator are discontinuous in the degree of patent protection. Furthermore, strengthening intellectual property rights is not necessarily desirable for the patentee. The analysis may also help explain the apparently puzzling practice of delaying patent suits.",Jay Pil Choi,Jay Pil Choi,,,,,,,,1
