Source URL,Title,Volume,Issue,Month,Year,Abstract,Authors1,Authors2,Authors3,Authors4,Authors5,Authors6,Authors7
https://doi.org/10.2307/2967504,The German Bank Act of 1934: A Correction,Volume 3,Issue 2,February,1936,"I SHOULD like to correct an error which slipped into my article, “The German Bank Act of 1934,” in Vol. II, No. 3, of this REVIEW, p. 217. The phrase, “This ratio also implies a limit, but in contrast to the cash ratio, it is a maximum limit” should read: “This ratio is imposed by the law as a minimum, as in the case of the cash ratio; but in reality it will figure as a maximum as long as the cash ratio is. far from being reached, and the assets forming this second line of defence will be the only means to fill up the first.” The remainder of the paragraph shows the reasons for this assumption.",M. Dessauer,,,,,,
https://doi.org/10.2307/2296392,Correction to “On Optimal Development in a Multi-Sector Economy”,Volume 38,Issue 3,July,1971,"Mr D. Nachane has pointed out to me that the proof of Theorem 6 of [1] is not correct as it stands. There should be absolute value signs around each of the three equal quantities on the left-hand side of inequality 7.8. The rest of the proof should then read: Since λ < 1 the terms | ut | are dominated by the terms of a convergent geometric series; hence the series converges, since it converges absolutely, so in particular the partial sums are bounded below, as was to be proved.",D. Gale,,,,,,
https://doi.org/10.2307/2296463,A Non-cooperative Equilibrium for Supergames: A Correction,Volume 40,Issue 3,July,1973,"The purpose of this note is to correct an error in my paper [1]. Under the assumptions of the paper, Proposition 3 is not, in general, true. The point at which the proof goes awry is in the use of the mapping Ω. Ω is treated in the paper as if it were a function (i.e. a point to point mapping); whereas it is in fact a correspondence (a point to set mapping). Ω maps points of the unit simplex into itself, using a subset of the Pareto optimal set to obtain the simplex. A given point in the payoff space may be the image of more than one point in the strategy space. Each strategy, s, which maps into a given point in the Pareto optimal set (i.e. which has a given ρ associated with it in the simplex), can map into a distinct δ in the simplex. Thus the Brouwer theorem cannot be used.",James W. Friedman,,,,,,
https://doi.org/10.2307/2297136,Relaxing Price Competition Through Product Differentiation,Volume 49,Issue 1,January,1982,"The notion of a Perfect Equilibrium in a multi-stage game is used to characterize industry equilibrium under Monopolistic Competition, where products are differentiated by quality.",Avner Shaked,John Sutton,,,,,
https://doi.org/10.2307/2297138,Information Aggregation and Policy,Volume 49,Issue 1,January,1982,"The function of monetary policy to alter the informational content of money price signals is examined in a model where traders can observe an economy wide financial signal and a local commodity price. Under a passive policy, money demand disturbances, which are not directly observable, are shown to be confused with real productivity shocks and thereby preclude prices from fully reflecting all information. Even when the policy authority has no informational advantage, prospective money growth feedback rules can “improve” the structure of available information.",Laurence Weiss,,,,,,
https://doi.org/10.2307/2297139,The Determinants of Occupational Success in Britain,Volume 49,Issue 1,January,1982,"This paper is concerned with measuring the true impact of certain human capital variables on an individual's occupational position. The particular variables which are analysed are training, qualifications and spells of sickness and unemployment. The longitudinal nature of the data enables us to control for all relevant individual attributes which remain fixed over the period of the sample. This is vitally important because these attributes are strongly correlated with the variables of interest and would seriously corrupt estimates derived from a single cross-section. A method of generating consistent estimates (as N → ∞, T fixed) for a dynamic model with fixed effects is also illustrated.",Stephen Nickell,,,,,,
https://doi.org/10.2307/2297140,The Efficient Estimation of Econometric Models with Rational Expectations,Volume 49,Issue 1,January,1982,"The efficient estimation of econometric models with rational expectations by the substitution method usually entails the use of a non-linear simultaneous equations estimator and hence is not very attractive computationally. It is shown that for a wide class of problems efficient estimates can also be obtained with standard estimation methods if instead an errors in variables approach is used. For many other problems, although not providing fully efficient estimates because rationality is not imposed, the errors in variables method will still have a strong appeal because otherwise it uses all of the structural information in the model; unlike the substitution method, when an incomplete information set is used, it guarantees consistent estimates; and it is easy to compute.",M. R. Wickens,,,,,,
https://doi.org/10.2307/2297141,"Compulsory Arbitration, Arbitral Risk and Negotiated Settlements: A Case Study in Bargaining under Imperfect Information",Volume 49,Issue 1,January,1982,"The effect of conventional and final-offer compulsory arbitration on negotiated settlements is characterized, using Nash's variable-threats bargaining solution, with particular attention to the interaction between arbitral risk and bargainers' risk preferences. When there is no arbitral risk, both schemes are shown to have the same effect on negotiated settlements under very general conditions, even when bargaining is over several issues. Whether or not there is arbitral risk, negotiated settlements favour a bargainer more if his opponent is more risk-averse. On the other hand, increases in arbitral risk need not improve the position of the less risk-averse bargainer. As a by-product of the analysis, Kihlstrom, Roth and Schmeidler's risk-sensitivity results for the Nash and Raiffa-Kalai-Smorodinsky solutions are generalized from fixed-threats to variable-threats bargaining.",Vincent P. Crawford,,,,,,
https://doi.org/10.2307/2297142,Welfare Economics of Decision Making with Changing Preferences,Volume 49,Issue 1,January,1982,The paper considers the properties a decision tree needs to guarantee that there are no preferences such that the sophisticated equilibrium is Pareto dominated when all agents act completely myopically. It shows that the only decision trees with this property are the most trivial problems. The analysis is generalized to agents who are not completely myopic and gives an example of union and shareholder conflict to illustrate the results.,Paul A. Grout,,,,,,
https://doi.org/10.2307/2297143,“Automatic” Output Stability and the Exchange Arrangement: A Multi-Country Analysis,Volume 49,Issue 1,January,1982,"The dependence of national output variances on the structural and stochastic features of world markets and on the global exchange arrangement is depicted in a multi-country model of income and exchange rate determination. The set of Pareto optimal exchange arrangements is displayed. Examples are presented to illustrate the empirical determinants of an optimal arrangement, the situations under which currency blocs are Pareto optimal, and the distributional conflicts which often arise in an asymmetric world.",Michael Jones,,,,,,
