,Name,Sex
0,A. A. Ryvkin,1
1,A. A. Walters,1
2,A. Abigail Payne,0
3,A. Anastasopoulos,1
4,A. Andrew John,1
5,A. Araujo,1
6,A. B. Atkinson,1
7,A. B. Z. Salem,
8,A. Belloni,1
9,A. Ben-Israel,1
10,A. Ben-Tal,1
11,A. Bhargava,1
12,A. C. Cameron,1
13,A. C. Harvey,1
14,A. C. Rayner,
15,A. Charnes,1
16,A. Colin Cameron,1
17,A. D. Hall,
18,A. D. Woodland,1
19,A. F. Shorrocks,1
20,A. G. Doig,0
21,A. G. Malliaris,
22,A. H. Land,1
23,A. H. Turunen-Red,0
24,A. Holly,1
25,A. J. Yeats,
26,A. Joshua Strickland,1
27,A. K. Skiba,1
28,A. Khan,1
29,A. Kirman,
30,A. L. Nagar,1
31,A. Lans Bovenberg,1
32,A. M. Agapos,1
33,A. M. Buoncristiani,1
34,A. M. Kshirsagar,1
35,A. M. Robert Taylor,1
36,A. Mas-Colell,1
37,A. McLennan,1
38,A. Michael Spence,1
39,A. Mitchell Polinsky,1
40,A. Monfort,1
41,A. Mushfiq Mobarak,1
42,A. Myrick FreemanIII,
43,A. Nataf,
44,A. Neyman,1
45,A. Norets,1
46,A. P. Barten,1
47,A. P. Kirman,1
48,A. Pakes,1
49,A. R. Bergstrom,1
50,A. R. Ferguson,1
51,A. R. Pagan,1
52,A. R. Tremayne,
53,A. Robert Nobay,1
54,A. Rodney Dobell,1
55,A. Ronald Gallant,1
56,A. S. Deaton,1
57,A. S. Goldberger,1
58,A. S. Rao,1
59,A. Simonovits,1
60,A. T. Denzau,1
61,A. Thomas King,1
62,A. Trognon,1
63,A. W. Beggs,
64,A. Zabalza,1
65,A. Zellner,1
66,A. de Palma,1
67,A. ten Kate,1
68,Aanund Hylland,1
69,Aaron Roth,1
70,Aaron S. Edlin,1
71,Aaron S. Yelowitz,1
72,Aaron Tornell,
73,Aaron Yelowitz,1
74,Aart Kraay,1
75,Aarón Tornell,1
76,Aba Schwartz,1
77,Abba M. Krieger,1
78,Abel Winn,1
79,Abhijit Banerjee,1
80,Abhijit Sengupta,1
81,Abhijit V. Banerjee,1
82,Abhinay Muthoo,
83,Abraham Charnes,1
84,Abraham L. Wickelgren,1
85,Abraham Neyman,1
86,Abraham Robinson,1
87,Abraham Subotnik,1
88,Abram Bergson,1
89,Achyuta Adhvaryu,
90,Adam B. Jaffe,1
91,Adam Brandenburger,1
92,Adam Copeland,
93,Adam Guren,1
94,Adam Hale Shapiro,1
95,Adam Kalai,1
96,Adam Looney,1
97,Adam M. Rosen,1
98,Adam Ray,1
99,Adam Storeygard,1
100,Adam Szeidl,1
101,Adam Wantz,1
102,Aderonke Osikominu,
103,Adib Bagh,1
104,Adolfo De Motta,
105,Adriaan Soetevent,1
106,Adrian Beck,
107,Adrian Bruhin,1
108,Adrian Pagan,
109,Adrian Peralta-Alva,1
110,Adriana D. Kugler,0
111,Adriana Lleras-Muney,0
112,Adrien Verdelhan,1
113,Adrien Vigier,
114,Ady Pauzner,1
115,Agar Brugiavini,0
116,Agata Maida,
117,Agnar Sandmo,1
118,Agustín Maravall,1
119,Ahmed Mushfiq Mobarak,1
120,Ahmed S. Rahman,1
121,Ahmet Alkan,1
122,Ahsan Mansur,1
123,Ahuva Mu'alem,0
124,Aico Van Vuuren,
125,Aico van Vuuren,1
126,Ailsa Röell,0
127,Ajay Maindiratta,1
