,Name,Sex
0,A. A. Ryvkin,1
1,A. A. Walters,1
2,A. Abigail Payne,0
3,A. Anastasopoulos,1
4,A. Andrew John,1
5,A. Araujo,1
6,A. B. Atkinson,1
7,A. B. Z. Salem,
8,A. Belloni,1
9,A. Ben-Israel,1
10,A. Ben-Tal,1
11,A. C. Harvey,1
12,A. Charnes,1
13,A. Colin Cameron,1
14,A. D. Woodland,1
15,A. F. Shorrocks,1
16,A. G. Doig,0
17,A. H. Land,1
18,A. Holly,1
19,A. Joshua Strickland,1
20,A. K. Skiba,1
21,A. Khan,1
22,A. Kirman,
23,A. L. Nagar,1
24,A. Lans Bovenberg,1
25,A. M. Buoncristiani,1
26,A. M. Kshirsagar,1
27,A. M. Robert Taylor,1
28,A. Mas-Colell,1
29,A. McLennan,1
30,A. Michael Spence,1
31,A. Mitchell Polinsky,1
32,A. Monfort,1
33,A. Mushfiq Mobarak,1
34,A. Nataf,
35,A. P. Barten,1
36,A. Pakes,1
37,A. R. Bergstrom,1
38,A. R. Ferguson,1
39,A. R. Pagan,1
40,A. Robert Nobay,1
41,A. Rodney Dobell,1
42,A. Ronald Gallant,1
43,A. S. Deaton,1
44,A. S. Goldberger,1
45,A. S. Rao,1
46,A. Simonovits,1
47,A. T. Denzau,1
48,A. Thomas King,1
49,A. Trognon,1
50,A. Zabalza,1
51,A. Zellner,1
52,A. de Palma,1
53,A. ten Kate,1
54,Aanund Hylland,1
55,Aaron Roth,1
56,Aaron S. Edlin,1
57,Aaron S. Yelowitz,1
58,Aaron Tornell,
59,Aaron Yelowitz,1
60,Aart Kraay,1
61,Aarón Tornell,1
62,Aba Schwartz,1
63,Abba M. Krieger,1
64,Abel Winn,1
65,Abhijit Banerjee,1
66,Abhijit Sengupta,1
67,Abhijit V. Banerjee,1
68,Abraham Charnes,1
69,Abraham L. Wickelgren,1
70,Abraham Neyman,1
71,Abraham Robinson,1
72,Abraham Subotnik,1
73,Abram Bergson,1
74,Adam B. Jaffe,1
75,Adam Brandenburger,1
76,Adam Guren,1
77,Adam Hale Shapiro,1
78,Adam Kalai,1
79,Adam Looney,1
80,Adam M. Rosen,1
81,Adam Ray,1
82,Adam Storeygard,1
83,Adam Szeidl,1
84,Adam Wantz,1
85,Adib Bagh,1
86,Adriaan Soetevent,1
87,Adrian Bruhin,1
88,Adrian Peralta-Alva,1
89,Adriana D. Kugler,0
90,Adriana Lleras-Muney,0
91,Adrien Verdelhan,1
92,Ady Pauzner,1
93,Agar Brugiavini,0
94,Agnar Sandmo,1
95,Agustín Maravall,1
96,Ahmed Mushfiq Mobarak,1
97,Ahmed S. Rahman,1
98,Ahmet Alkan,1
99,Ahsan Mansur,1
100,Ahuva Mu'alem,0
101,Aico van Vuuren,1
102,Ailsa Röell,0
103,Ajay Maindiratta,1
104,Akhmed Akhmedov,1
105,Akira Okada,1
106,Akira Yamazaki,1
107,Akram Temimi,1
108,Akwasi Nti-Addae,1
109,Al H. Ringleb,1
110,Al Slivinski,
111,Alain C. Enthoven,1
112,Alain Monfort,1
113,Alain Trannoy,1
114,Alan B. Keueger,
115,Alan B. Krueger,1
116,Alan Beggs,1
117,Alan C. Hess,1
118,Alan C. Stockman,1
119,Alan D. Woodland,1
120,Alan Duncan,1
121,Alan Harrison,1
122,Alan Heston,1
123,Alan I. Barreca,1
124,Alan J. Auerbach,1
125,Alan J. Marcus,1
126,Alan K. Fox,1
